userId,recommendedItems
kakao1380669158,"['VGY5NiA3jGsIKfZIMspH', 'ydfUVfkzx7lChv3ylmlF', 'ynOEpglaHtC4crT5eCZN', 'PE9h8IRVjxJiGZ8WGTqb', 'Qh7sxfNGTISLviHlBxJs', 'HhxvlntKV4AgzvPjfk5W', '27NrBlWx2xL3Jt0NX3uw', 'idZEUdokkoWhgOk4O5jq', '7165MXveEQu2oM2tOron', '2ry92Zz2SjaoTuymplKm']"
kakao1559086533,"['PTU4SzPDr4zWvazzPYc9', 'HD8CnHis5L9kqvq42SJj', 'lino', 'oqiE1D0QeNbwlZcsUIWx', 'EMOZiiQ5mVoydKXdQZYr', 'w9CMyWDMsLnH3D0FN0Mp', 'sd7TSkEqI7V6884MtjWX', 'f7doxxqjPGYEQ7BHzFfC', '7LOaDa9y7IB6DiiFyMF3', 'v4biBdYz5wIqcIikubdL']"
kakao1559979441,"['nZgQGsMH4zLOjMCeqi5G', 'Sb8tHNz15V1dIZUvxQPQ', 'OgDpqWrzUcLpMWAqWDZf', 'pSUMF0cjZoogJ9PBskKi', 'P28SXA5gyuCf61qMTlXn', 'CoFYyvEkDe2g7Vegij6Q', '1pdE5OXKQuSAnXlJH5tm', 'fBcuqxuLShuEZXVFNfHV', 'HLf6SJgtMZS33UZKOHRU', 'AiBykcSNsWmonYVuEg00']"
kakao2279007998,"['ROhCRMUt26a6YPfwkgpd', 'sfCxoddIvlEWDmBXckPt', '82nk37mEjmtv89bMHzQf', '8M17w9FOKq2lDZ33f6VD', 'DnBwkpXT4J3iLHOiTcV8', 'XljRmyRDXU0rXCQuAtMO', 'BPABQrxKkxtUTQHOoCdh', '315Q19v2UzhkELv2X4Xa', '8FKFpoDOvebvhhZ1AYV5', '4kCCDcucych6ED9IbVa0']"
kakao1762257077,"['W3ksS1pTaDLop754JLhs', 'K5SOpYNXO3j3yHJmezTX', 'JFPVKDOxvhMVnT6iVP6q', 'gray', 'kZSAUR2p5YDLHx8mCcNW', 'l5vkFbrdvg8yZUcd3VQb', 'eNPlsv7j5Gm9N2V18iYE', 'KPsh8DMlvaPCNsdoaqUt', 'wxvfoKACyu96jtCu7bQf', 'PsCHFCudtitMyxsreXBt']"
naver6755997,"['TzXkkfAkQvO3RC6IjiVm', 'hhhi7yAG9IqmXKnIa5A2', 'j5UF906tHWfU3sDytfTA', 'ynCpi8fxlXlxKqGKurp4', '4D6UrqnZr9f7qzT3u4wv', '67eVVPmUAmAvg9k13tOz', 'YmLwCPn13waM0hvVJHX6', 'bU0DyBudfzdF6UzdTYZQ', 'pSUMF0cjZoogJ9PBskKi', 'FRlPHv47WlxxvzYeaYNg']"
kakao1262723113,"['gray', 'v2LrqmCCf1JWL4F38OC6', '0384462CF31FEA26AF51A2', 'JFPVKDOxvhMVnT6iVP6q', 'boycold', 'paloalto', '8geafsQ6AX8Y0CehvLn6', 'WuuaMd3aRbcshHEomoff', '0CBgoXsstH5WpI5DeE6t', 'S5oUiefI5TBm8bHy8Hfb']"
kakao1398384560,"['idFQeOUmPT5VjcChkaxB', 'TIhjB38dAytw0IFZZE9r', 'inwD7u6VzqH1zoUFEeQb', 'z1BZTzJF8figBHGV5qT3', 'gv6EaDQHgJSGPDw0jEbO', 'sfCxoddIvlEWDmBXckPt', 'VEZwzlZyloKLXC3gkNPK', 'fa9KjLBJJ9XrUQXuL0sE', '315Q19v2UzhkELv2X4Xa', 'ATnIYUWWWqEsoxRgkxec']"
naver24333930,"['CwtUiDwBSCAUKTTZYJp3', 'j2cqasKulOEI8EtcgWmd', 'uUjzBQdb5QfTIUQTy2j3', 'Ng33bxrGH3MZbssetmVU', 'Vrl35ZhoqP3imsM7W5q2', 'wfSc3i9No4wRPqxqY00z', 'GNNMfyIfdxmlByRtMbdI', 'U7gUPd2Hnxi9oI4aUKFT', '7wVk2TDDASEokb9iz8Nf', 'tNz2DjOtssir4wjKcztP']"
kakao1406406649,"['sfCxoddIvlEWDmBXckPt', 'UhSyqzFZ1vrP8TTOd6AE', 'YxoLEEDOqDUH3NZ1PBJ0', 'oQvzkWWSl3aWOteHXM06', '82nk37mEjmtv89bMHzQf', 'YNaZ4IUI6kKqaqft70Gb', '8M17w9FOKq2lDZ33f6VD', '4hUh3DoqXcfruZqSvY6z', '315Q19v2UzhkELv2X4Xa', 'yf7AViWPGEf2FkCfpZ7o']"
